,LoanAmount,Loan_Amount_Term,Credit_History,Dependents,Gender_Male,Married_Yes,Self_Employed_Yes,Status
0,146.41216216216216,360.0,1.0,0,1,0,0,Y
1,128.0,360.0,1.0,1,1,1,0,N
2,66.0,360.0,1.0,0,1,1,1,Y
3,120.0,360.0,1.0,0,1,1,0,Y
4,141.0,360.0,1.0,0,1,0,0,Y
5,267.0,360.0,1.0,2,1,1,1,Y
6,95.0,360.0,1.0,0,1,1,0,Y
7,158.0,360.0,0.0,4,1,1,0,N
8,168.0,360.0,1.0,2,1,1,0,Y
9,349.0,360.0,1.0,1,1,1,0,N
10,70.0,360.0,1.0,2,1,1,0,Y
11,109.0,360.0,1.0,2,1,1,0,Y
12,200.0,360.0,1.0,2,1,1,0,Y
13,114.0,360.0,1.0,0,1,0,0,N
14,17.0,120.0,1.0,2,1,1,0,Y
15,125.0,360.0,1.0,0,1,0,0,Y
16,100.0,240.0,0.8421985815602837,1,1,0,0,Y
17,76.0,360.0,0.0,0,0,0,0,N
18,133.0,360.0,1.0,0,1,1,0,N
19,115.0,342.0,1.0,0,1,1,0,Y
20,104.0,360.0,0.0,0,1,1,0,N
21,315.0,360.0,1.0,1,1,1,0,Y
22,116.0,360.0,0.0,0,1,1,0,N
23,112.0,360.0,0.0,2,1,1,0,N
24,151.0,360.0,0.8421985815602837,1,1,1,0,N
25,191.0,360.0,1.0,0,1,1,1,Y
26,122.0,360.0,1.0,0,1,1,0,Y
27,110.0,360.0,1.0,2,1,1,0,Y
28,35.0,360.0,1.0,0,1,0,0,N
29,120.0,360.0,1.0,2,0,0,0,Y
30,201.0,360.0,0.8421985815602837,1,1,1,0,N
31,74.0,360.0,1.0,0,1,0,0,N
32,106.0,360.0,1.0,1,1,0,1,N
33,114.0,360.0,1.0,0,1,1,0,Y
34,320.0,360.0,1.0,4,1,0,0,N
35,146.41216216216216,360.0,1.0,0,1,1,0,Y
36,100.0,342.0,0.0,0,1,1,0,N
37,144.0,360.0,1.0,0,0,1,0,Y
38,184.0,360.0,1.0,0,1,0,0,Y
39,110.0,360.0,1.0,0,1,0,0,Y
40,80.0,360.0,1.0,0,1,0,0,N
41,47.0,360.0,1.0,0,1,0,0,Y
42,75.0,360.0,0.8421985815602837,0,1,1,0,Y
43,134.0,360.0,1.0,0,1,1,0,Y
44,96.0,342.0,1.0,0,1,1,1,Y
45,88.0,342.0,1.0,0,0,0,0,Y
46,44.0,360.0,1.0,1,1,1,0,Y
47,144.0,360.0,1.0,0,1,1,0,Y
48,120.0,360.0,0.0,0,0,1,0,N
49,144.0,360.0,1.0,0,0,0,0,Y
50,100.0,360.0,1.0,0,0,1,0,Y
51,120.0,360.0,1.0,0,0,0,0,Y
52,112.0,360.0,1.0,0,0,0,0,N
53,134.0,360.0,1.0,2,1,1,0,N
54,286.0,360.0,0.0,1,0,1,1,N
55,97.0,360.0,1.0,2,1,1,0,Y
56,96.0,360.0,1.0,0,1,1,0,Y
57,135.0,360.0,1.0,0,1,1,0,N
58,180.0,360.0,1.0,1,1,1,0,Y
59,144.0,360.0,1.0,2,1,1,0,Y
60,120.0,360.0,1.0,0,1,1,0,Y
61,99.0,360.0,1.0,4,1,1,0,Y
62,165.0,180.0,0.0,0,1,1,1,N
63,146.41216216216216,360.0,0.0,1,1,1,0,N
64,116.0,360.0,0.0,0,0,0,0,N
65,258.0,360.0,1.0,0,1,1,0,N
66,126.0,180.0,0.0,0,1,0,0,N
67,312.0,360.0,1.0,1,1,1,0,Y
68,125.0,60.0,1.0,4,1,1,1,Y
69,136.0,360.0,0.0,0,0,0,0,N
70,172.0,360.0,1.0,0,1,1,0,Y
71,97.0,360.0,1.0,2,1,1,1,Y
72,81.0,300.0,1.0,0,1,0,0,Y
73,95.0,342.0,0.0,4,1,1,0,N
74,187.0,360.0,1.0,4,1,1,1,Y
75,113.0,480.0,1.0,0,1,0,0,N
76,176.0,360.0,1.0,0,1,0,0,N
77,110.0,360.0,1.0,1,1,1,1,N
78,180.0,300.0,0.0,4,1,1,0,N
79,130.0,360.0,0.8421985815602837,4,1,1,1,Y
80,111.0,360.0,1.0,0,0,0,0,Y
81,146.41216216216216,360.0,1.0,1,1,1,1,Y
82,167.0,360.0,1.0,2,0,1,0,N
83,265.0,360.0,0.8421985815602837,0,1,1,0,N
84,50.0,240.0,1.0,1,1,1,0,Y
85,136.0,360.0,1.0,0,1,0,0,Y
86,99.0,360.0,0.8421985815602837,2,1,1,0,Y
87,104.0,360.0,1.0,0,1,1,0,Y
88,210.0,360.0,1.0,0,1,0,0,Y
89,175.0,360.0,1.0,0,1,1,0,Y
90,131.0,360.0,1.0,0,1,1,0,Y
91,188.0,180.0,1.0,2,1,1,0,Y
92,81.0,360.0,1.0,2,1,1,0,Y
93,122.0,360.0,1.0,0,1,0,0,Y
94,25.0,120.0,1.0,0,1,0,0,Y
95,146.41216216216216,360.0,0.8421985815602837,0,1,0,0,N
